Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),GDP ($ per capita),Literacy (%)
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,"48,0","0,00",700,"36,0"
Albania ,EASTERN EUROPE                     ,3581655,28748,"124,6","1,26",4500,"86,5"
Algeria ,NORTHERN AFRICA                    ,32930091,2381740,"13,8","0,04",6000,"70,0"
American Samoa ,OCEANIA                            ,57794,199,"290,4","58,29",8000,"97,0"
Andorra ,WESTERN EUROPE                     ,71201,468,"152,1","0,00",19000,"100,0"
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,"9,7","0,13",1900,"42,0"
Anguilla ,LATIN AMER. & CARIB    ,13477,102,"132,1","59,80",8600,"95,0"
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,443,"156,0","34,54",11000,"89,0"
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,"14,4","0,18",11200,"97,1"
Armenia ,C.W. OF IND. STATES ,2976372,29800,"99,9","0,00",3500,"98,6"
Aruba ,LATIN AMER. & CARIB    ,71891,193,"372,5","35,49",28000,"97,0"
Australia ,OCEANIA                            ,20264082,7686850,"2,6","0,34",29000,"100,0"
Austria ,WESTERN EUROPE                     ,8192880,83870,"97,7","0,00",30000,"98,0"
Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,"91,9","0,00",3400,"97,0"
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,13940,"21,8","25,41",16700,"95,6"
Bahrain ,NEAR EAST                          ,698585,665,"1050,5","24,21",16900,"89,1"
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,"1023,4","0,40",1900,"43,1"
Barbados ,LATIN AMER. & CARIB    ,279912,431,"649,5","22,51",15700,"97,4"
Belarus ,C.W. OF IND. STATES ,10293011,207600,"49,6","0,00",6100,"99,6"
Belgium ,WESTERN EUROPE                     ,10379067,30528,"340,0","0,22",29100,"98,0"
Belize ,LATIN AMER. & CARIB    ,287730,22966,"12,5","1,68",4900,"94,1"
Benin ,SUB-SAHARAN AFRICA                 ,7862944,112620,"69,8","0,11",1100,"40,9"
Bermuda ,NORTHERN AMERICA                   ,65773,53,"1241,0","194,34",36000,"98,0"
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,"48,5","0,00",1300,"42,2"
Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580,"8,2","0,00",2400,"87,2"
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,51129,"88,0","0,04",6100,
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,600370,"2,7","0,00",9000,"79,8"
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,"22,1","0,09",7600,"86,4"
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,153,"151,0","52,29",16000,"97,8"
Brunei ,ASIA (EX. NEAR EAST)         ,379444,5770,"65,8","2,79",18600,"93,9"
Bulgaria ,EASTERN EUROPE                     ,7385367,110910,"66,6","0,32",7600,"98,6"
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,274200,"50,7","0,00",1100,"26,6"
Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,"69,8","0,28",1800,"85,3"
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,27830,"290,7","0,00",600,"51,6"
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,"76,7","0,24",1900,"69,4"
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,"36,5","0,08",1800,"79,0"
Canada ,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02",29800,"97,0"
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033,"104,4","23,93",1400,"76,6"
Cayman Islands ,LATIN AMER. & CARIB    ,45436,262,"173,4","61,07",35000,"98,0"
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,622984,"6,9","0,00",1100,"51,0"
Chad ,SUB-SAHARAN AFRICA                 ,9944201,1284000,"7,7","0,00",1200,"47,5"
Chile ,LATIN AMER. & CARIB    ,16134219,756950,"21,3","0,85",9900,"96,2"
China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,"136,9","0,15",5000,"90,9"
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,"38,3","0,28",6300,"92,5"
Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170,"318,4","15,67",700,"56,5"
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,2345410,"26,7","0,00",700,"65,5"
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,342000,"10,8","0,05",700,"83,8"
Cook Islands ,OCEANIA                            ,21388,240,"89,1","50,00",5000,"95,0"
Costa Rica ,LATIN AMER. & CARIB    ,4075261,51100,"79,8","2,52",9100,"96,0"
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,322460,"54,8","0,16",1400,"50,9"
Croatia ,EASTERN EUROPE                     ,4494749,56542,"79,5","10,32",10600,"98,5"
Cuba ,LATIN AMER. & CARIB    ,11382820,110860,"102,7","3,37",2900,"97,0"
Cyprus ,NEAR EAST                          ,784301,9250,"84,8","7,01",19200,"97,6"
Czech Republic ,EASTERN EUROPE                     ,10235455,78866,"129,8","0,00",15700,"99,9"
Denmark ,WESTERN EUROPE                     ,5450661,43094,"126,5","16,97",31100,"100,0"
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,"21,2","1,37",1300,"67,9"
Dominica ,LATIN AMER. & CARIB    ,68910,754,"91,4","19,63",5400,"94,0"
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,48730,"188,5","2,64",6000,"84,7"
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,"70,8","4,70",500,"58,6"
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,"47,8","0,79",3300,"92,5"
Egypt ,NORTHERN AFRICA                    ,78887007,1001450,"78,8","0,24",4000,"57,7"
El Salvador ,LATIN AMER. & CARIB    ,6822378,21040,"324,3","1,46",4800,"80,2"
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,"19,3","1,06",2700,"85,7"
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320,"39,5","1,84",700,"58,6"
Estonia ,BALTICS                            ,1324333,45226,"29,3","8,39",12300,"99,8"
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,"66,3","0,00",700,"42,7"
Faroe Islands ,WESTERN EUROPE                     ,47246,1399,"33,8","79,84",22000,
Fiji ,OCEANIA                            ,905949,18270,"49,6","6,18",5800,"93,7"
Finland ,WESTERN EUROPE                     ,5231372,338145,"15,5","0,37",27400,"100,0"
France ,WESTERN EUROPE                     ,60876136,547030,"111,3","0,63",27600,"99,0"
French Guiana ,LATIN AMER. & CARIB    ,199509,91000,"2,2","0,42",8300,"83,0"
French Polynesia ,OCEANIA                            ,274578,4167,"65,9","60,60",17500,"98,0"
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667,"5,3","0,33",5500,"63,2"
"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564,11300,"145,3","0,71",1700,"40,1"
Gaza Strip ,NEAR EAST                          ,1428757,360,"3968,8","11,11",600,
Georgia ,C.W. OF IND. STATES ,4661473,69700,"66,9","0,44",2500,"99,0"
Germany ,WESTERN EUROPE                     ,82422299,357021,"230,9","0,67",27600,"99,0"
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,"93,6","0,23",2200,"74,8"
Gibraltar ,WESTERN EUROPE                     ,27928,7,"3989,7","171,43",17500,
Greece ,WESTERN EUROPE                     ,10688058,131940,"81,0","10,37",20000,"97,5"
Greenland ,NORTHERN AMERICA                   ,56361,2166086,"0,0","2,04",20000,
Grenada ,LATIN AMER. & CARIB    ,89703,344,"260,8","35,17",5000,"98,0"
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,"254,4","17,19",8000,"90,0"
Guam ,OCEANIA                            ,171019,541,"316,1","23,20",21000,"99,0"
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,"112,9","0,37",4100,"70,6"
Guernsey ,WESTERN EUROPE                     ,65409,78,"838,6","64,10",20000,
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,245857,"39,4","0,13",2100,"35,9"
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120,"39,9","0,97",800,"42,4"
Guyana ,LATIN AMER. & CARIB    ,767245,214970,"3,6","0,21",4000,"98,8"
Haiti ,LATIN AMER. & CARIB    ,8308504,27750,"299,4","6,38",1600,"52,9"
Honduras ,LATIN AMER. & CARIB    ,7326496,112090,"65,4","0,73",2600,"76,2"
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,1092,"6355,7","67,12",28800,"93,5"
Hungary ,EASTERN EUROPE                     ,9981334,93030,"107,3","0,00",13900,"99,4"
Iceland ,WESTERN EUROPE                     ,299388,103000,"2,9","4,83",30900,"99,9"
India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,"333,2","0,21",2900,"59,5"
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,"127,9","2,85",3200,"87,9"
Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,"41,7","0,15",7000,"79,4"
Iraq ,NEAR EAST                          ,26783383,437072,"61,3","0,01",1500,"40,4"
Ireland ,WESTERN EUROPE                     ,4062235,70280,"57,8","2,06",29600,"98,0"
Isle of Man ,WESTERN EUROPE                     ,75441,572,"131,9","27,97",21000,
Israel ,NEAR EAST                          ,6352117,20770,"305,8","1,31",19800,"95,4"
Italy ,WESTERN EUROPE                     ,58133509,301230,"193,0","2,52",26700,"98,6"
Jamaica ,LATIN AMER. & CARIB    ,2758124,10991,"250,9","9,30",3900,"87,9"
Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,"337,4","7,87",28200,"99,0"
Jersey ,WESTERN EUROPE                     ,91084,116,"785,2","60,34",24800,
