,artist,danceability,energy,
Mask Off,Future,0.833,0.434,
Redbone,Childish Gambino,0.743,0.359,
Xanny Family,Future,0.838,0.412,
Master Of None,Beach House,0.494,0.338,
Parallel Lines,Junior Boys,0.678,0.561,
Sneakinâ€™,Drake,0.804,0.56,
Childs Play,Drake,0.739,0.472,
GyÃ¶ngyhajÃº lÃ¡ny,Omega,0.266,0.348,
I've Seen Footage,Death Grips,0.603,0.944,
Digital Animal,Honey Claws,0.836,0.603,
Subways - In Flagranti Extended Edit,The Avalanches,0.525,0.855,
Donme Dolap - Baris K Edit,Modern Folk ÃœÃ§lÃ¼sÃ¼,0.753,0.748,
Cemalim,Erkin Koray,0.603,0.434,
One Night,Lil Yachty,0.762,0.476,
Oh lala,PNL,0.662,0.603,
Char,Crystal Castles,0.637,0.832,
World In Motion,New Order,0.603,0.955,
One Nation Under a Groove,Funkadelic,0.789,0.659,
Bouncin,Chief Keef,0.713,0.611,
C O O L - Radio Edit,Le Youth,0.735,0.759,
Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,0.854,0.719,
House of Jealous Lovers,The Rapture,0.747,0.74,
Imma Ride,Young Thug,0.854,0.401,
Girlfriend,Ty Segall,0.224,0.925,
If I Gave You My Love,Myron & E,0.512,0.564,
This Ready Flesh,TR/ST,0.781,0.795,
Lose My Mind,A-Trak,0.411,0.684,
Char,Crystal Castles,0.646,0.837,
Look Alive,Rae Sremmurd,0.782,0.572,
Please Stop Making Fake Versace,Father,0.735,0.4,
Milly Rock,2milly,0.45,0.449,
BlasÃ© (feat. Future & Rae Sremmurd),Ty Dolla $ign,0.897,0.642,
Best Friend,Young Thug,0.959,0.598,
Hercules,Young Thug,0.742,0.559,
Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold,0.805,0.687,
Check,Young Thug,0.667,0.581,
Poppin' My Collar,Three 6 Mafia,0.722,0.823,
Jumpman,Drake,0.853,0.547,
11-Jul,BeyoncÃ©,0.747,0.705,
Somebody's Watching Me,Rockwell,0.777,0.591,
Bang That,Disclosure,0.731,0.852,
I Don't Sell Molly No More,ILoveMakonnen,0.76,0.402,
Versace Python,Riff Raff,0.624,0.792,
Monster,Kanye West,0.621,0.683,
OOOUUU,Young M.A.,0.64,0.819,
Return Of The Mack - C & J Street Mix,Mark Morrison,0.715,0.833,
Fantastic Man,William Onyeabor,0.7,0.756,
Right Place Wrong Time,Dr. John,0.789,0.494,
Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,0.796,0.86,
Odofo Nyi Akyiri Biara,Ebo Taylor,0.716,0.957,
Annie,Neon Indian,0.74,0.846,
The Chase,Future Islands,0.7,0.84,
Coming Home,Leon Bridges,0.514,0.453,
Wishes,Beach House,0.313,0.77,
White Iverson,Post Malone,0.676,0.528,
I Know There's Gonna Be (Good Times),Jamie xx,0.532,0.596,
Loud Places,Jamie xx,0.646,0.629,
L$D,A$AP Rocky,0.598,0.252,
Dopeman,Vince Staples,0.754,0.442,
California Nights,Best Coast,0.294,0.786,
Baby,Ariel Pink's Haunted Graffiti,0.622,0.253,
Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",0.559,0.656,
Fail to Cry,Yacht Club,0.54,0.945,
Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man,0.793,0.7,
Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi,0.549,0.715,
Sentimental Trash,Sweet Valley,0.557,0.607,
Get Away,CHVRCHES,0.597,0.444,
Look At Wrist,Father,0.879,0.512,
Our Love,Caribou,0.726,0.497,
I Ain't Trippin off Nothin,Ezale,0.857,0.831,
They Don't Know - Original Mix,Disciples,0.807,0.778,
Sabali,Amadou & Mariam,0.596,0.639,
Spooky,Dusty Springfield,0.683,0.708,
Pick Up The Pieces,Average White Band,0.768,0.853,
Have Love Will Travel,The Sonics,0.506,0.948,
Capitol,TR/ST,0.457,0.918,
Uncast Shadow Of A Southern Myth,Parquet Courts,0.468,0.58,
I Shall Be Released - Remastered,Nina Simone,0.537,0.447,
Words I Don't Remember,How To Dress Well,0.515,0.217,
To The Top,Twin Shadow,0.429,0.725,
Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,0.791,0.58,
Aquafina (feat. GoldLink & Chaz French),Falcons,0.711,0.705,
Hot Blur,How Sad,0.683,0.824,
Summer Madness,Kool & The Gang,0.309,0.325,
The Payback,James Brown,0.867,0.733,
I'm In Love,Fool's Gold,0.619,0.734,
I Need You Tonight,Punkin Machine,0.898,0.5,
Everybody Likes Something Good,Ify Jerry Crusade,0.589,0.745,
Dadje Von O Von Non,Gnonnas PÃ©dro,0.606,0.668,
Sugah Daddy,D'Angelo,0.786,0.547,
International Players Anthem,Swishahouse,0.734,0.548,
Swerve,ILoveMakonnen,0.812,0.676,
Look At Wrist,Father,0.876,0.606,
Let It Happen,Tame Impala,0.601,0.873,
My Way (feat. Monty),Fetty Wap,0.748,0.741,
Walk,Kwabs,0.615,0.814,
The Magnificent Seven - Remastered,The Clash,0.799,0.789,
NOBO,Tijuana Panthers,0.398,0.776,
The Gaudy Side of Town,Gayngs,0.685,0.423,
U Mad,Vic Mensa,0.706,0.581,
Slumlord,Neon Indian,0.63,0.98,
Leave A Trace,CHVRCHES,0.57,0.736,
Willing & Able,Disclosure,0.525,0.643,
White Girl,Shy Glizzy,0.698,0.793,
Maneuvering,ILoveMakonnen,0.763,0.773,
Be My Baby,The Ronettes,0.511,0.769,
Why Don't They Let Us Fall in Love,The Ronettes,0.506,0.813,
Will You Love Me Tomorrow,The Shirelles,0.513,0.494,
One Fine Day,The Chiffons,0.251,0.868,
He's So Fine - 2000 Digital Remaster,The Chiffons,0.559,0.633,
Then He Kissed Me,The Crystals,0.431,0.678,
It's My Party,Lesley Gore,0.683,0.71,
Please Mr. Postman,The Marvelettes,0.78,0.599,
Fiesta - Remix,Bomba EstÃ©reo,0.614,0.907,
Queen's Speech 4,Lady Leshurr,0.661,0.531,
I Know There's Gonna Be (Good Times),Jamie xx,0.564,0.594,
With That (feat. Duke),Young Thug,0.751,0.597,
Hotline Bling,Drake,0.896,0.623,
679 (feat. Remy Boyz),Fetty Wap,0.618,0.717,
Trap Queen,Fetty Wap,0.746,0.873,
No Type,Rae Sremmurd,0.888,0.483,
Chasing Heaven,Bassnectar,0.443,0.645,
Speakerbox (feat. Lafa Taylor),Bassnectar,0.507,0.934,
Movin' Bass - GTA Remix,Rick Ross,0.695,0.912,
Danger and Dread,Brown Bird,0.462,0.449,
Midnight City,M83,0.526,0.712,
Water No Get Enemy - Edit,Fela Kuti,0.645,0.924,
Pyramids,Frank Ocean,0.405,0.647,
Hercules Theme,Hercules & Love Affair,0.735,0.641,
Rewind,Kelela,0.746,0.416,
My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.,0.547,0.643,
Kush,Lil Wayne,0.634,0.609,
9,Willow,0.607,0.488,
Magnets,Disclosure,0.704,0.647,
Don't Move,Phantogram,0.558,0.642,
Pussy,Brazilian Girls,0.698,0.804,
Black Mags,The Cool Kids,0.772,0.582,
Stay Fly - Explicit Album Version,Three 6 Mafia,0.788,0.864,
Sippin On Some Syrup,Three 6 Mafia,0.944,0.839,
Poppin' My Collar - feat. Project Pat - Explicit,Three 6 Mafia,0.729,0.795,
Sittin' Sidewayz - feat. Big Pokey Explicit,Paul Wall,0.721,0.621,
Gold and a Pager,The Cool Kids,0.798,0.751,
Smell Yo D*ck,Riskay,0.851,0.387,
Don'Â€Â™t Wanna Lose,Ex Hex,0.34,0.805,
Endless Rhythm,Baio,0.767,0.891,
Demon,Shamir,0.772,0.635,
Nothing Ever Happened,Deerhunter,0.259,0.847,
Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels,0.633,0.77,
River,Ibeyi,0.654,0.292,
The Buzz (feat. Mataya & Young Tapz),Hermitude,0.726,0.583,
All Day,Kanye West,0.855,0.638,
Blood On the Money,Future,0.704,0.431,
River,Leon Bridges,0.658,0.179,
Trust Me Danny,ILoveMakonnen,0.502,0.833,
Big Rings,Drake,0.79,0.676,
Annie,Neon Indian,0.738,0.849,
Acamar,Frankey,0.777,0.739,
Alright,Kendrick Lamar,0.791,0.779,
Know Yourself,Drake,0.735,0.41,
Deicide,Crystal Castles,0.556,0.582,
Coming Home,Leon Bridges,0.427,0.465,
Hercules Theme 2014,Hercules & Love Affair,0.563,0.81,
Forever,Majid Jordan,0.753,0.708,
Next to You,Poolside,0.785,0.764,
Papi Pacify,FKA twigs,0.557,0.608,
Magnolia,Young & Sick,0.594,0.42,
Dark Matter,Feathers,0.644,0.758,
Callie (feat. Vic Mensa),Donnie Trumpet,0.704,0.657,
Wu-Tang Forever,Drake,0.849,0.408,
Fame (2007 Remastered),David Bowie,0.628,0.568,
We Dem Boyz,Wiz Khalifa,0.717,0.862,
Ego Free Sex Free,Autre Ne Veut,0.584,0.68,
Her Fantasy,Matthew Dear,0.586,0.806,
Little People (Black City),Matthew Dear,0.648,0.85,
Confess To Me,Disclosure,0.807,0.785,
Let Me Show You Love,Cut Copy,0.577,0.941,
New Slaves,Kanye West,0.5,0.593,
Sexy Socialite,Chromeo,0.804,0.708,
Okay,Holy Ghost!,0.787,0.658,
Weight,Mikal Cronin,0.246,0.784,
When A Fire Starts To Burn,Disclosure,0.882,0.743,
When A Fire Starts To Burn - Midland Remix,Disclosure,0.628,0.824,
Fake Tales Of San Francisco,Arctic Monkeys,0.451,0.79,
Billie Holiday,Warpaint,0.518,0.385,
