,Season,Stage,Player,Field_goals_made,Field_goals_attempts,3_points_made,3_points_attempts,Free_throw_made,Free_throw_attempts
NBA,2019 - 2020,Regular_Season,James Harden,672,1514,299,843,692,800
NBA,2019 - 2020,Regular_Season,Damian Lillard,624,1349,270,674,460,518
NBA,2019 - 2020,Regular_Season,Devin Booker,627,1283,141,398,468,509
NBA,2019 - 2020,Regular_Season,Giannis Antetokounmpo,685,1238,89,293,398,629
NBA,2019 - 2020,Regular_Season,Trae Young,546,1249,205,568,481,559
NBA,2019 - 2020,Regular_Season,Luka Doncic,581,1255,171,541,426,562
NBA,2019 - 2020,Regular_Season,Bradley Beal,593,1303,170,481,386,458
NBA,2019 - 2020,Regular_Season,LeBron James,643,1303,148,425,264,381
NBA,2019 - 2020,Regular_Season,Donovan Mitchell,602,1342,173,473,278,322
NBA,2019 - 2020,Regular_Season,Anthony Davis,551,1096,72,218,444,525
NBA,2019 - 2020,Regular_Season,C.J. McCollum,611,1356,194,512,140,185
NBA,2019 - 2020,Regular_Season,Russell Westbrook,604,1281,55,213,290,380
NBA,2019 - 2020,Regular_Season,Jayson Tatum,552,1226,189,469,254,313
NBA,2019 - 2020,Regular_Season,Kawhi Leonard,532,1133,123,325,356,402
NBA,2019 - 2020,Regular_Season,Zach LaVine,539,1199,184,484,268,334
NBA,2019 - 2020,Regular_Season,DeMar DeRozan,557,1049,9,35,381,451
NBA,2019 - 2020,Regular_Season,Brandon Ingram,507,1096,150,384,313,368
NBA,2019 - 2020,Regular_Season,Nikola Jokic,565,1071,80,255,246,301
NBA,2019 - 2020,Regular_Season,Tobias Harris,553,1173,131,357,173,215
NBA,2019 - 2020,Regular_Season,Buddy Hield,498,1162,271,688,115,136
NBA,2019 - 2020,Regular_Season,Pascal Siakam,500,1104,131,365,240,303
NBA,2019 - 2020,Regular_Season,Collin Sexton,513,1086,97,255,226,267
NBA,2019 - 2020,Regular_Season,Shai Gilgeous-Alexander,478,1015,87,251,288,357
NBA,2019 - 2020,Regular_Season,T.J. Warren,534,997,91,226,167,204
NBA,2019 - 2020,Regular_Season,Spencer Dinwiddie,424,1021,123,400,347,446
NBA,2019 - 2020,Regular_Season,Khris Middleton,471,947,147,354,208,227
NBA,2019 - 2020,Regular_Season,Bojan Bogdanovic,418,935,189,457,250,277
NBA,2019 - 2020,Regular_Season,Julius Randle,463,1006,64,231,258,352
NBA,2019 - 2020,Regular_Season,Chris Paul,434,887,111,304,253,279
NBA,2019 - 2020,Regular_Season,Dennis Schroder,453,965,125,325,198,236
NBA,2019 - 2020,Regular_Season,Evan Fournier,434,929,173,434,180,220
